date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202137,AG,male,6518,sex,348814,212933,1.87,61.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.54,54
202138,AG,male,3766,sex,348814,216699,1.08,62.12,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.517,51.7
202139,AG,male,2358,sex,348814,219057,0.68,62.8,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.51,51
202140,AG,male,1933,sex,348814,220990,0.55,63.35,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.513,51.300000000000004
202141,AG,male,1901,sex,348814,222891,0.54,63.9,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.52,52
202142,AG,male,1530,sex,348814,224421,0.44,64.34,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202143,AG,male,1367,sex,348814,225788,0.39,64.73,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.536,53.6
202144,AG,male,1120,sex,348814,226908,0.32,65.05,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.54,54
202145,AG,male,1611,sex,348814,228519,0.46,65.51,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202146,AG,male,1347,sex,348814,229866,0.39,65.9,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.521,52.1
202147,AG,male,1037,sex,348814,230903,0.3,66.2,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.484,48.4
202148,AG,male,1401,sex,348814,232304,0.4,66.6,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.511,51.1
202149,AG,male,1658,sex,348814,233962,0.48,67.07,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.499,49.9
202150,AG,male,1300,sex,348814,235262,0.37,67.45,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.495,49.5
202151,AG,male,724,sex,348814,235986,0.21,67.65,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.503,50.3
202152,AG,male,568,sex,348814,236554,0.16,67.82,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.498,49.8
202201,AG,male,1587,sex,348814,238141,0.45,68.27,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.5,50
202202,AG,male,1380,sex,348814,239521,0.4,68.67,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.498,49.8
202203,AG,male,926,sex,348814,240447,0.27,68.93,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.523,52.300000000000004
202204,AG,male,557,sex,348814,241004,0.16,69.09,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.484,48.4
202205,AG,male,166,sex,348814,241170,0.05,69.14,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.466,46.6
202206,AG,male,126,sex,348814,241296,0.04,69.18,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.468,46.800000000000004
202207,AG,male,80,sex,348814,241376,0.02,69.2,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.513,51.300000000000004
202208,AG,male,57,sex,348814,241433,0.02,69.22,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.523,52.300000000000004
202209,AG,male,36,sex,348814,241469,0.01,69.23,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.456,45.6
202210,AG,male,38,sex,348814,241507,0.01,69.24,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202211,AG,male,31,sex,348814,241538,0.01,69.25,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202212,AG,male,33,sex,348814,241571,0.01,69.25,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.458,45.800000000000004
202213,AG,male,25,sex,348814,241596,0.01,69.26,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.532,53.2
202214,AG,male,29,sex,348814,241625,0.01,69.27,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.558,55.800000000000004
202215,AG,male,16,sex,348814,241641,0,69.28,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.533,53.300000000000004
202216,AG,male,20,sex,348814,241661,0.01,69.28,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.364,36.4
202217,AG,male,17,sex,348814,241678,0,69.29,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.378,37.8
202052,AG,female,6,sex,345258,6,0,0,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.75,75
202053,AG,female,132,sex,345258,138,0.04,0.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.706,70.6
202101,AG,female,1314,sex,345258,1452,0.38,0.42,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202102,AG,female,1877,sex,345258,3329,0.54,0.96,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.549,54.900000000000006
202103,AG,female,3386,sex,345258,6715,0.98,1.94,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.542,54.2
202104,AG,female,3820,sex,345258,10535,1.11,3.05,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.595,59.5
202105,AG,female,3566,sex,345258,14101,1.03,4.08,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.6,60
202106,AG,female,3034,sex,345258,17135,0.88,4.96,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.6,60
202107,AG,female,2858,sex,345258,19993,0.83,5.79,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.544,54.400000000000006
202108,AG,female,4298,sex,345258,24291,1.24,7.04,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202109,AG,female,4211,sex,345258,28502,1.22,8.26,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.536,53.6
202110,AG,female,4695,sex,345258,33197,1.36,9.62,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.537,53.7
202111,AG,female,2826,sex,345258,36023,0.82,10.43,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.537,53.7
202112,AG,female,4226,sex,345258,40249,1.22,11.66,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.526,52.6
202113,AG,female,4996,sex,345258,45245,1.45,13.1,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202114,AG,female,6546,sex,345258,51791,1.9,15,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.533,53.300000000000004
202115,AG,female,10718,sex,345258,62509,3.1,18.11,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.571,57.099999999999994
202116,AG,female,11215,sex,345258,73724,3.25,21.35,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.51,51
202117,AG,female,8180,sex,345258,81904,2.37,23.72,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.52,52
202118,AG,female,11846,sex,345258,93750,3.43,27.15,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.505,50.5
202119,AG,female,9733,sex,345258,103483,2.82,29.97,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202120,AG,female,9276,sex,345258,112759,2.69,32.66,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.507,50.7
202121,AG,female,11978,sex,345258,124737,3.47,36.13,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.483,48.3
202122,AG,female,12608,sex,345258,137345,3.65,39.78,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.461,46.1
202123,AG,female,14631,sex,345258,151976,4.24,44.02,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.454,45.4
202124,AG,female,11612,sex,345258,163588,3.36,47.38,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.443,44.3
202125,AG,female,6677,sex,345258,170265,1.93,49.32,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.465,46.5
202126,AG,female,4777,sex,345258,175042,1.38,50.7,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.485,48.5
202127,AG,female,2745,sex,345258,177787,0.8,51.49,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.468,46.800000000000004
202128,AG,female,2667,sex,345258,180454,0.77,52.27,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.458,45.800000000000004
202129,AG,female,2359,sex,345258,182813,0.68,52.95,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.49,49
202130,AG,female,2367,sex,345258,185180,0.69,53.64,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.481,48.1
202131,AG,female,2697,sex,345258,187877,0.78,54.42,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.494,49.4
202132,AG,female,2346,sex,345258,190223,0.68,55.1,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.488,48.8
202133,AG,female,3335,sex,345258,193558,0.97,56.06,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.507,50.7
202134,AG,female,4553,sex,345258,198111,1.32,57.38,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.501,50.1
202135,AG,female,4580,sex,345258,202691,1.33,58.71,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.497,49.7
202136,AG,female,5518,sex,345258,208209,1.6,60.31,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.477,47.699999999999996
202137,AG,female,5552,sex,345258,213761,1.61,61.91,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.46,46
202138,AG,female,3521,sex,345258,217282,1.02,62.93,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.483,48.3
202139,AG,female,2268,sex,345258,219550,0.66,63.59,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.49,49
202140,AG,female,1833,sex,345258,221383,0.53,64.12,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.487,48.699999999999996
202141,AG,female,1751,sex,345258,223134,0.51,64.63,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.479,47.9
202142,AG,female,1384,sex,345258,224518,0.4,65.03,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202143,AG,female,1181,sex,345258,225699,0.34,65.37,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.464,46.400000000000006
202144,AG,female,954,sex,345258,226653,0.28,65.65,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.46,46
202145,AG,female,1457,sex,345258,228110,0.42,66.07,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202146,AG,female,1235,sex,345258,229345,0.36,66.43,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.478,47.8
202147,AG,female,1104,sex,345258,230449,0.32,66.75,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.516,51.6
202148,AG,female,1340,sex,345258,231789,0.39,67.14,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.489,48.9
202149,AG,female,1665,sex,345258,233454,0.48,67.62,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.501,50.1
202150,AG,female,1324,sex,345258,234778,0.38,68,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.504,50.4
202151,AG,female,716,sex,345258,235494,0.21,68.21,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.497,49.7
202152,AG,female,572,sex,345258,236066,0.17,68.37,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.502,50.2
202201,AG,female,1588,sex,345258,237654,0.46,68.83,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.5,50
202202,AG,female,1392,sex,345258,239046,0.4,69.24,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.502,50.2
202203,AG,female,844,sex,345258,239890,0.24,69.48,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.477,47.699999999999996
202204,AG,female,595,sex,345258,240485,0.17,69.65,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.516,51.6
202205,AG,female,190,sex,345258,240675,0.06,69.71,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.534,53.400000000000006
202206,AG,female,143,sex,345258,240818,0.04,69.75,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.532,53.2
202207,AG,female,76,sex,345258,240894,0.02,69.77,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.487,48.699999999999996
202208,AG,female,52,sex,345258,240946,0.02,69.79,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.477,47.699999999999996
202209,AG,female,43,sex,345258,240989,0.01,69.8,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.544,54.400000000000006
202210,AG,female,42,sex,345258,241031,0.01,69.81,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.525,52.5
202211,AG,female,28,sex,345258,241059,0.01,69.82,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.475,47.5
202212,AG,female,39,sex,345258,241098,0.01,69.83,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.542,54.2
202213,AG,female,22,sex,345258,241120,0.01,69.84,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.468,46.800000000000004
202214,AG,female,23,sex,345258,241143,0.01,69.84,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.442,44.2
202215,AG,female,14,sex,345258,241157,0,69.85,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.467,46.7
202216,AG,female,35,sex,345258,241192,0.01,69.86,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.636,63.6
202217,AG,female,28,sex,345258,241220,0.01,69.87,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.622,62.2
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202101,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202102,AG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202110,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202111,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202112,AG,unknown,1,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202113,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202114,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202115,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202116,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202117,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202118,AG,unknown,1,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202119,AG,unknown,0,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202120,AG,unknown,2,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202121,AG,unknown,3,sex,NA,8,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202122,AG,unknown,3,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202123,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202124,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202125,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202126,AG,unknown,3,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202127,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202128,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202129,AG,unknown,1,sex,NA,15,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202130,AG,unknown,1,sex,NA,16,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202131,AG,unknown,1,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202132,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202133,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202134,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202135,AG,unknown,2,sex,NA,19,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202136,AG,unknown,2,sex,NA,21,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202137,AG,unknown,3,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202138,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202139,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202140,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202141,AG,unknown,2,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.001,0.1
202142,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202143,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202144,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202145,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202146,AG,unknown,1,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202147,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202148,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202149,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202150,AG,unknown,1,sex,NA,28,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202151,AG,unknown,0,sex,NA,28,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202152,AG,unknown,0,sex,NA,28,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202201,AG,unknown,0,sex,NA,28,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202202,AG,unknown,0,sex,NA,28,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202203,AG,unknown,1,sex,NA,29,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0.001,0.1
202204,AG,unknown,0,sex,NA,29,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202205,AG,unknown,0,sex,NA,29,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202206,AG,unknown,0,sex,NA,29,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
202207,AG,unknown,0,sex,NA,29,NA,NA,COVID19AtLeastOneDosePersons,2022-05-03_10-25-13,detailed,0,0
